1.7399,1.4852,2.1,2.8004,3.7129,4.2003,4.9001,5.6,6.3003
1.8759,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6001,6.3
1.7995,1.4852,2.1,2.9699,3.7129,4.2,4.9002,5.6001,6.2992
1.7339,1.395,2.1,2.814,3.7128,4.2003,4.9,5.6,6.3
1.7935,1.4852,2.1001,2.8001,3.7128,4.2002,4.9,5.6,6.3
1.7236,1.4001,2.1,2.9701,3.7129,4.2,4.9,5.6,6.3
1.7832,1.4852,2.1,2.8001,3.7133,4.2,4.9037,5.6,6.2988
1.9339,1.4852,2.1,2.8003,3.7134,4.2,4.9,5.6,6.2997
1.8129,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6,6.2999
1.695,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6,6.2997
1.6565,1.4001,2.1,2.9746,3.7129,4.2004,4.9001,5.6,6.3
1.7332,1.4002,2.1,2.8011,3.7128,4.2,4.9,5.6,6.3
1.7135,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6,6.2999
1.7298,1.4818,2.1,2.8,3.714,4.2003,4.9,5.6,6.3
1.8159,1.4852,2.1,2.8001,3.7128,4.2002,4.9,5.6,6.3004
1.8025,1.4852,2.1,2.8001,3.7128,4.2003,4.9,5.6,6.3
1.7159,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6,6.2999
1.8767,1.4852,2.1,2.8005,3.7129,4.2004,4.8913,5.6,6.3
1.7173,1.4012,2.1,2.7984,3.7128,4.2003,4.9,5.6001,6.3
1.7923,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6001,6.2997
1.7684,1.4852,2.1,2.9706,3.7133,4.2,4.9,5.6,6.2992
1.7162,1.4852,2.1,2.7996,4.1481,4.2095,4.9001,5.6,6.3001
1.5696,1.4852,2.1,2.7985,3.713,4.2,4.9,5.6,6.3
1.7383,1.401,2.1,2.8001,3.7128,4.2,4.9,5.6,6.3003
1.7127,1.4852,2.1,2.8004,3.7129,4.2003,4.9,5.6001,6.3
1.8438,1.4852,2.1,2.8004,3.7129,4.2,4.9,5.6,6.3
1.7483,1.4862,1.9647,2.8001,3.7128,4.2002,4.9,5.6001,6.3
1.8356,1.4004,2.1,2.8001,3.714,4.2,4.9,5.6001,6.3
1.6223,1.4852,2.1,2.8001,3.7129,4.2,4.9,5.6,6.3001
